description,injuryType,bodyPart,side
arizona diamondbacks placed 1b christian walker on the 60-day disabled list. facial fracture.,fracture,facial,NA
"arizona diamondbacks placed 1b geoff blum on the 15-day disabled list retroactive to july 25, 2011. fractured right pinkie finger.",fracture,pinkie,right
"arizona diamondbacks placed 1b geoff blum on the 15-day disabled list retroactive to march 22, 2011. swollen right knee.",swollen,knee,right
"arizona diamondbacks placed 1b jake lamb on the 10-day injured list retroactive to april 4, 2019. left quadricep strain.",injured,quad,left
"arizona diamondbacks placed 1b jake lamb on the 10-day injured list retroactive to april 4, 2019. left quadricep strain.",injured,quadricep,left
"arizona diamondbacks placed 1b jake lamb on the 10-day injured list retroactive to april 4, 2019. left quadricep strain.",strain,quad,left
"arizona diamondbacks placed 1b jake lamb on the 10-day injured list retroactive to april 4, 2019. left quadricep strain.",strain,quadricep,left
arizona diamondbacks placed 1b jordan pacheco on the 15-day disabled list. right shoulder tendinitis.,tendinitis,shoulder,right
arizona diamondbacks placed 1b paul goldschmidt on the 15-day disabled list. fractured left hand,fracture,hand,left
"arizona diamondbacks placed 1b tony clark on the 15-day disabled list retroactive to may 5, 2009. sprained right hand.",sprain,hand,right
arizona diamondbacks placed 1b xavier nady on the 15-day disabled list. fractured left hand,fracture,hand,left
"arizona diamondbacks placed 2b aaron hill on the 15-day disabled list retroactive to april 15, 2013. broken left hand.",broken,hand,left
"arizona diamondbacks placed 2b tony abreu on the 15-day disabled list retroactive to may 24, 2010. left wrist sprain.",sprain,wrist,left
"arizona diamondbacks placed 2b willie bloomquist on the 15-day disabled list retroactive to june 28, 2013. left hand contusion",contusion,hand,left
"arizona diamondbacks placed 2b wilmer flores on the 10-day injured list retroactive to may 20, 2019. right foot contusion.",contusion,foot,right
"arizona diamondbacks placed 2b wilmer flores on the 10-day injured list retroactive to may 20, 2019. right foot contusion.",injured,foot,right
"arizona diamondbacks placed 3b deven marrero on the 10-day disabled list retroactive to june 29, 2018. left oblique strain.",strain,oblique,left
"arizona diamondbacks placed 3b eric chavez on the 15-day disabled list retroactive to august 10, 2013. left knee strain.",strain,knee,left
